dataset,C_latent_diff_uncond_auc_roc_mean,E_caldm_d_auc_roc_mean,F_caldm_j_auc_roc_mean,C_latent_diff_uncond_auc_roc_std,E_caldm_d_auc_roc_std,F_caldm_j_auc_roc_std,C_latent_diff_uncond_ap_mean,E_caldm_d_ap_mean,F_caldm_j_ap_mean,C_latent_diff_uncond_ap_std,E_caldm_d_ap_std,F_caldm_j_ap_std,C_latent_diff_uncond_f1_mean,E_caldm_d_f1_mean,F_caldm_j_f1_mean,C_latent_diff_uncond_f1_std,E_caldm_d_f1_std,F_caldm_j_f1_std,C_latent_diff_uncond_precision_mean,E_caldm_d_precision_mean,F_caldm_j_precision_mean,C_latent_diff_uncond_precision_std,E_caldm_d_precision_std,F_caldm_j_precision_std,C_latent_diff_uncond_recall_mean,E_caldm_d_recall_mean,F_caldm_j_recall_mean,C_latent_diff_uncond_recall_std,E_caldm_d_recall_std,F_caldm_j_recall_std,n_rows,n_features,outlier_rate
10_cover,0.9334009760768687,0.9353914574069463,0.5604940971740889,,,,0.07200625370553208,0.07423834956143069,0.010593879283441219,,,,0.06843829632326175,0.06989443028758646,0.0014561339643247178,,,,0.06843829632326175,0.06989443028758646,0.0014561339643247178,,,,0.06843829632326175,0.06989443028758646,0.0014561339643247178,,,,286048,10,0.009603283365029646
11_donors,0.8332826037831071,0.8339015502550184,0.818866854683592,,,,0.17146528723293894,0.17223516937412597,0.14436425123735144,,,,0.2076545900299646,0.2081994007082539,0.08060473985290112,,,,0.2076545900299646,0.20819940070825388,0.08060473985290112,,,,0.2076545900299646,0.20819940070825388,0.08060473985290112,,,,619326,10,0.05927411411760527
14_glass,0.6758807588075881,0.6726287262872628,0.6569105691056911,,,,0.10195382046423764,0.10140808153850218,0.08792666473986843,,,,0.1111111111111111,0.1111111111111111,0.1111111111111111,,,,0.1111111111111111,0.1111111111111111,0.1111111111111111,,,,0.1111111111111111,0.1111111111111111,0.1111111111111111,,,,214,7,0.04205607476635514
17_InternetAds,0.6146405833378681,0.6147001006693149,0.6099149072209827,,,,0.2956158269673706,0.2956141825837889,0.2884103837136227,,,,0.3423913043478261,0.3423913043478261,0.33967391304347827,,,,0.3423913043478261,0.3423913043478261,0.33967391304347827,,,,0.3423913043478261,0.3423913043478261,0.33967391304347827,,,,1966,1555,0.1871820956256358
18_Ionosphere,0.7833509700176368,0.7831393298059964,0.8049029982363315,,,,0.7306536438732226,0.7274216557688169,0.7642531238421351,,,,0.5873015873015873,0.5873015873015873,0.626984126984127,,,,0.5873015873015873,0.5873015873015873,0.626984126984127,,,,0.5873015873015873,0.5873015873015873,0.626984126984127,,,,351,32,0.358974358974359
19_landsat,0.3688918603621897,0.35454933902036856,0.5652016198875277,,,,0.1646236385116388,0.1573690285439428,0.22648649470908172,,,,0.2010502625656414,0.16579144786196548,0.23030757689422354,,,,0.2010502625656414,0.16579144786196548,0.23030757689422354,,,,0.2010502625656414,0.16579144786196548,0.23030757689422354,,,,6435,36,0.20714840714840715
20_letter,0.5303533333333335,0.5226,0.6788666666666666,,,,0.07634831976971729,0.07667909991106982,0.13085144784528135,,,,0.07,0.08,0.19,,,,0.07,0.08,0.19,,,,0.07,0.08,0.19,,,,1600,32,0.0625
23_mammography,0.8673075162501145,0.8730730498102098,0.7654536299551407,,,,0.19641391518556908,0.19764969946021269,0.1039425595381231,,,,0.25769230769230766,0.2692307692307692,0.21153846153846154,,,,0.25769230769230766,0.2692307692307692,0.21153846153846154,,,,0.25769230769230766,0.2692307692307692,0.21153846153846154,,,,11183,6,0.023249575248144506
24_mnist,0.8500712940543448,0.8478327228327228,0.872127025516856,,,,0.3834481284158137,0.3801851465547446,0.40463423642809315,,,,0.38571428571428573,0.38,0.39571428571428574,,,,0.38571428571428573,0.38,0.39571428571428574,,,,0.38571428571428573,0.38,0.39571428571428574,,,,7603,100,0.09206892016309351
25_musk,0.999993046017976,0.9999791380539281,0.8009978964204377,,,,0.9997885220620291,0.9993654312791393,0.31450361079666705,,,,0.9896907216494846,0.979381443298969,0.30927835051546393,,,,0.9896907216494846,0.979381443298969,0.30927835051546393,,,,0.9896907216494846,0.979381443298969,0.30927835051546393,,,,3062,166,0.03167864141084259
