dataset,config,config_label,seed,n_rows,n_features,outlier_rate,n_outliers,auc_roc,ap,f1,precision,recall,threshold,train_time_sec
10_cover,C_latent_diff_uncond,Latent Diff (Uncond.),42,286048,10,0.009603283365029646,2747,0.9334009760768687,0.07200625370553208,0.06843829632326175,0.06843829632326175,0.06843829632326175,1.604615707130044,127.05235624313354
10_cover,E_caldm_d,CALDM-D (proposed),42,286048,10,0.009603283365029646,2747,0.9353914574069463,0.07423834956143069,0.06989443028758646,0.06989443028758646,0.06989443028758646,1.5961586682317428,153.05512762069702
10_cover,F_caldm_j,CALDM-J (jointly cond.),42,286048,10,0.009603283365029646,2747,0.5604940971740889,0.010593879283441219,0.0014561339643247178,0.0014561339643247178,0.0014561339643247178,0.36952510529601684,206.6372082233429
11_donors,C_latent_diff_uncond,Latent Diff (Uncond.),42,619326,10,0.05927411411760527,36710,0.8332826037831071,0.17146528723293894,0.2076545900299646,0.2076545900299646,0.2076545900299646,0.9790280078440956,271.96278643608093
11_donors,E_caldm_d,CALDM-D (proposed),42,619326,10,0.05927411411760527,36710,0.8339015502550184,0.17223516937412597,0.2081994007082539,0.20819940070825388,0.20819940070825388,0.9784272088635504,362.36654233932495
11_donors,F_caldm_j,CALDM-J (jointly cond.),42,619326,10,0.05927411411760527,36710,0.818866854683592,0.14436425123735144,0.08060473985290112,0.08060473985290112,0.08060473985290112,0.019613310435487,453.31458163261414
14_glass,C_latent_diff_uncond,Latent Diff (Uncond.),42,214,7,0.04205607476635514,9,0.6758807588075881,0.10195382046423764,0.1111111111111111,0.1111111111111111,0.1111111111111111,1.6803379794147535,1.132524013519287
14_glass,E_caldm_d,CALDM-D (proposed),42,214,7,0.04205607476635514,9,0.6726287262872628,0.10140808153850218,0.1111111111111111,0.1111111111111111,0.1111111111111111,1.6874596069906371,1.386098861694336
14_glass,F_caldm_j,CALDM-J (jointly cond.),42,214,7,0.04205607476635514,9,0.6569105691056911,0.08792666473986843,0.1111111111111111,0.1111111111111111,0.1111111111111111,1.5814908074441372,1.554471492767334
17_InternetAds,C_latent_diff_uncond,Latent Diff (Uncond.),42,1966,1555,0.1871820956256358,368,0.6146405833378681,0.2956158269673706,0.3423913043478261,0.3423913043478261,0.3423913043478261,0.8732629460211566,1.7183992862701416
