dataset,C_latent_diff_uncond_auc_roc_mean,E_caldm_d_auc_roc_mean,F_caldm_j_auc_roc_mean,C_latent_diff_uncond_auc_roc_std,E_caldm_d_auc_roc_std,F_caldm_j_auc_roc_std,C_latent_diff_uncond_ap_mean,E_caldm_d_ap_mean,F_caldm_j_ap_mean,C_latent_diff_uncond_ap_std,E_caldm_d_ap_std,F_caldm_j_ap_std,C_latent_diff_uncond_f1_mean,E_caldm_d_f1_mean,F_caldm_j_f1_mean,C_latent_diff_uncond_f1_std,E_caldm_d_f1_std,F_caldm_j_f1_std,C_latent_diff_uncond_precision_mean,E_caldm_d_precision_mean,F_caldm_j_precision_mean,C_latent_diff_uncond_precision_std,E_caldm_d_precision_std,F_caldm_j_precision_std,C_latent_diff_uncond_recall_mean,E_caldm_d_recall_mean,F_caldm_j_recall_mean,C_latent_diff_uncond_recall_std,E_caldm_d_recall_std,F_caldm_j_recall_std,n_rows,n_features,outlier_rate
10_cover,0.807673009590125,0.9234950690903937,0.5995634392918351,0.024767374836517437,0.013761425936857783,0.02271673419609152,0.028417414319966045,0.06411866885873127,0.0115803851426527,0.004975924979991109,0.009232947615677722,0.0008668225149205662,0.03264166970027909,0.05545443514136634,0.006552602839461231,0.010182097656011734,0.004091667346217058,0.004291891562632544,0.03264166970027909,0.05545443514136634,0.006552602839461231,0.010182097656011734,0.004091667346217055,0.004291891562632544,0.03264166970027909,0.05545443514136634,0.006552602839461231,0.010182097656011734,0.004091667346217055,0.004291891562632544,286048,10,0.009603283365029646
11_donors,0.7618835307542344,0.7301415664760912,0.775010151371094,0.11388514055850094,0.02350949948657992,0.02915913050804359,0.15309169768151687,0.12220333654743905,0.12685662293499766,0.07276011371260334,0.009115112489615064,0.014588445118713345,0.17151496116477968,0.15017706347044402,0.09269953691092346,0.0826333233486541,0.007401158318629582,0.02420966341388296,0.1715144406402973,0.15017706347044402,0.09269953691092346,0.08263386062180714,0.007401158318629582,0.02420966341388296,0.17151548170344136,0.15017706347044402,0.09269953691092346,0.08263278606720913,0.007401158318629582,0.02420966341388296,619326,10,0.05927411411760527
14_glass,0.6579945799457995,0.7004516711833785,0.6773261065943993,0.017845070605045317,0.04044876214690516,0.09766981783665674,0.09950726093011554,0.10097810030950509,0.10654025143721095,0.0045281828466812,0.009279317282968977,0.023781075984528083,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,214,7,0.04205607476635514
17_InternetAds,0.6146856464602494,0.6146624063593985,0.5611906187081678,3.200592150636131e-05,6.211076604108943e-05,0.0031657886426209284,0.295617099043283,0.29561615120441725,0.2095408408059428,1.8433478200630693e-05,4.8471911053786656e-05,0.0011311641924142957,0.3423913043478261,0.3423913043478261,0.24909420289855075,0.0,0.0,0.015451741040970999,0.3423913043478261,0.3423913043478261,0.24909420289855075,0.0,0.0,0.015451741040970999,0.3423913043478261,0.3423913043478261,0.24909420289855075,0.0,0.0,0.015451741040970999,1966,1555,0.1871820956256358
18_Ionosphere,0.7997413286302174,0.7930041152263375,0.8789888300999412,0.011563282390874292,0.016289359760179103,0.012005923744933962,0.7294768894410426,0.7290112394947341,0.8495242665826098,0.00494267142396769,0.009371828008887764,0.018021678164602015,0.5925925925925926,0.582010582010582,0.7354497354497355,0.01212321612422177,0.018328579974273847,0.025512303600510405,0.5925925925925926,0.582010582010582,0.7354497354497355,0.01212321612422177,0.018328579974273847,0.025512303600510405,0.5925925925925926,0.582010582010582,0.7354497354497355,0.01212321612422177,0.018328579974273847,0.025512303600510405,351,32,0.358974358974359
19_landsat,0.3709874940314852,0.4398320277835041,0.5404697411122675,0.07102783911650488,0.01905757827128184,0.017395330826737304,0.16376015091134485,0.18078839115757303,0.21944358765591873,0.029176965550994704,0.006655845351031722,0.0052322383907876914,0.13628407101775444,0.20730182545636408,0.22630657664416107,0.11066813205372818,0.0251322158724726,0.001561639909576995,0.13628407101775444,0.2073018254563641,0.22630657664416107,0.11066813205372818,0.025132215872472583,0.001561639909576995,0.13628407101775444,0.2073018254563641,0.22630657664416107,0.11066813205372818,0.025132215872472583,0.001561639909576995,6435,36,0.20714840714840715
20_letter,0.5473888888888888,0.6264611111111111,0.7757888888888888,0.009401818579008686,0.014977595242870581,0.015046018791742933,0.0727510147574106,0.10659108864526752,0.20200676695792885,0.004606729695424606,0.0063447388390208215,0.01106171210212207,0.08,0.13333333333333333,0.24666666666666667,0.017320508075688773,0.030550504633038933,0.011547005383792528,0.08,0.13333333333333333,0.24666666666666667,0.017320508075688773,0.030550504633038943,0.011547005383792528,0.08,0.13333333333333333,0.24666666666666667,0.017320508075688773,0.030550504633038943,0.011547005383792528,1600,32,0.0625
23_mammography,0.7998403157768715,0.869347847520053,0.7777500780521929,0.018270620185490333,0.00569113030377248,0.027743398054783604,0.17328939254370343,0.18563282018181645,0.1178377375814428,0.006477729498479572,0.012910308426358284,0.02462576024297957,0.2551282051282051,0.2602564102564102,0.21025641025641026,0.012363654821785836,0.011750194089630345,0.05019685115500486,0.2551282051282051,0.2602564102564102,0.21025641025641026,0.012363654821785836,0.011750194089630345,0.05019685115500484,0.2551282051282051,0.2602564102564102,0.21025641025641026,0.012363654821785836,0.011750194089630345,0.05019685115500484,11183,6,0.023249575248144506
24_mnist,0.8556692742285964,0.8517775915233542,0.844510185357643,0.0028284928173137737,0.003073214988563444,0.01156699063365082,0.3880259138608242,0.3838432820673405,0.3948444257789397,0.0036595278665142966,0.0036874527433607505,0.012528791157046255,0.3880952380952381,0.3833333333333333,0.4061904761904762,0.007190318509781619,0.005773502691896226,0.002973808570665916,0.3880952380952381,0.3833333333333333,0.4061904761904762,0.007190318509781672,0.005773502691896226,0.002973808570665916,0.3880952380952381,0.3833333333333333,0.4061904761904762,0.007190318509781672,0.005773502691896226,0.002973808570665916,7603,100,0.09206892016309351
25_musk,0.9987645091937437,1.0,0.9131123126046718,0.0008243500116089443,0.0,0.011511133329627657,0.963966703783386,0.9999999999999999,0.4400465436893071,0.02215777050818298,1.1102230246251565e-16,0.0134801882323425,0.9106529209621993,1.0,0.3745704467353952,0.0416644524157462,0.0,0.0059520646308208625,0.9106529209621993,1.0,0.3745704467353952,0.041664452415746143,0.0,0.0059520646308208625,0.9106529209621993,1.0,0.3745704467353952,0.041664452415746143,0.0,0.0059520646308208625,3062,166,0.03167864141084259
