dataset,config,config_label,seed,n_rows,n_features,outlier_rate,n_outliers,auc_roc,ap,f1,precision,recall,threshold,train_time_sec
10_cover,C_latent_diff_uncond,Latent Diff (Uncond.),69,286048,10,0.009603283365029646,2747,0.7797254272500995,0.02267172641346484,0.021113942482708408,0.021113942482708408,0.021113942482708408,1.770434036232062,964.837968826294
10_cover,C_latent_diff_uncond,Latent Diff (Uncond.),72,286048,10,0.009603283365029646,2747,0.8269024964612965,0.03130175902596591,0.03640334910811795,0.03640334910811795,0.03640334910811795,1.7664855778299,878.3377070426941
10_cover,C_latent_diff_uncond,Latent Diff (Uncond.),888,286048,10,0.009603283365029646,2747,0.8163911050589789,0.0312787575204674,0.04040771751001092,0.04040771751001092,0.04040771751001092,1.780589005190453,859.3861095905304
10_cover,E_caldm_d,CALDM-D (proposed),69,286048,10,0.009603283365029646,2747,0.9321529649657988,0.07022887845018337,0.058973425555151074,0.058973425555151074,0.058973425555151074,1.4144113800431217,2454.992641687393
10_cover,E_caldm_d,CALDM-D (proposed),72,286048,10,0.009603283365029646,2747,0.9076267332541237,0.05349743389393966,0.05096468875136512,0.050964688751365124,0.050964688751365124,1.4175454636931333,2398.160701751709
10_cover,E_caldm_d,CALDM-D (proposed),888,286048,10,0.009603283365029646,2747,0.9307055090512586,0.06862969423207077,0.056425191117582825,0.05642519111758282,0.05642519111758282,1.4184370247903675,2378.4576148986816
10_cover,F_caldm_j,CALDM-J (jointly cond.),69,286048,10,0.009603283365029646,2747,0.6257936758204953,0.012581260968330716,0.011285038223516564,0.011285038223516564,0.011285038223516564,0.31495493978873734,1047.51864361763
10_cover,F_caldm_j,CALDM-J (jointly cond.),72,286048,10,0.009603283365029646,2747,0.5866244779853014,0.011088130050429478,0.005460502366217692,0.005460502366217692,0.005460502366217692,0.3193370896096828,1022.2699589729309
10_cover,F_caldm_j,CALDM-J (jointly cond.),888,286048,10,0.009603283365029646,2747,0.5862721640697085,0.01107176440919791,0.0029122679286494356,0.0029122679286494356,0.0029122679286494356,0.32526831508580056,1038.9826126098633
11_donors,C_latent_diff_uncond,Latent Diff (Uncond.),69,619326,10,0.05927411411760527,36710,0.709636272596244,0.11056223975724985,0.11465384562999686,0.11465228405654981,0.11465540724598203,1.3286874788902758,1864.0868260860443
11_donors,C_latent_diff_uncond,Latent Diff (Uncond.),72,619326,10,0.05927411411760527,36710,0.8925178925416876,0.23710567408114536,0.26630345954780715,0.26630345954780715,0.26630345954780715,1.3290112893902286,1844.5472764968872
