method,seed,auc_roc,ap,f1,precision,recall,accuracy,threshold,train_time_sec,score_time_sec,error,dataset,n_rows,n_features,outlier_rate
KNN,69,0.8040506182246651,0.040520887889273646,0.08918820531488898,0.08918820531488897,0.08918820531488897,0.9825064324868553,1.2651583124004688,26.4926598072052,53.45561099052429,,10_cover,286048,10,0.009603283365029646
KNN,72,0.8040506182246651,0.040520887889273646,0.08918820531488898,0.08918820531488897,0.08918820531488897,0.9825064324868553,1.2651583124004688,26.166884183883667,53.13015937805176,,10_cover,286048,10,0.009603283365029646
KNN,888,0.8040506182246651,0.040520887889273646,0.08918820531488898,0.08918820531488897,0.08918820531488897,0.9825064324868553,1.2651583124004688,25.533405303955078,53.40146994590759,,10_cover,286048,10,0.009603283365029646
LOF,69,0.5200629019639798,0.011924392183281413,0.03167091372406261,0.03167091372406261,0.03167091372406261,0.9814017227877838,1.3420803148671612,26.232052087783813,25.05577516555786,,10_cover,286048,10,0.009603283365029646
LOF,72,0.5200629019639798,0.011924392183281413,0.03167091372406261,0.03167091372406261,0.03167091372406261,0.9814017227877838,1.3420803148671612,25.115944623947144,23.82358193397522,,10_cover,286048,10,0.009603283365029646
LOF,888,0.5200629019639798,0.011924392183281413,0.03167091372406261,0.03167091372406261,0.03167091372406261,0.9814017227877838,1.3420803148671612,25.08545708656311,23.71990394592285,,10_cover,286048,10,0.009603283365029646
IForest,69,0.8865807560854349,0.05749815164869922,0.08991627229705133,0.08991627229705133,0.08991627229705133,0.9825204161539322,0.07806692737033316,2.183979034423828,0.9325616359710693,,10_cover,286048,10,0.009603283365029646
IForest,72,0.8875719632273709,0.05195229643292636,0.07826720058245358,0.07826720058245358,0.07826720058245358,0.9822966774807025,0.07551780485908699,2.2396206855773926,0.9588067531585693,,10_cover,286048,10,0.009603283365029646
IForest,888,0.8378880716150986,0.03372706825522339,0.05751729159082636,0.05751729159082636,0.05751729159082636,0.9818981429690122,0.07572520412951257,2.207963705062866,0.9875271320343018,,10_cover,286048,10,0.009603283365029646
PCA,69,0.934516035122038,0.07314875470598685,0.06989443028758646,0.06989443028758646,0.06989443028758646,0.9821358653093187,16357.68129523859,0.12661051750183105,0.06958603858947754,,10_cover,286048,10,0.009603283365029646
PCA,72,0.934516035122038,0.07314875470598685,0.06989443028758646,0.06989443028758646,0.06989443028758646,0.9821358653093187,16357.68129523859,0.1272721290588379,0.08112859725952148,,10_cover,286048,10,0.009603283365029646
PCA,888,0.934516035122038,0.07314875470598685,0.06989443028758646,0.06989443028758646,0.06989443028758646,0.9821358653093187,16357.68129523859,0.14421510696411133,0.07474994659423828,,10_cover,286048,10,0.009603283365029646
CBLOF,69,0.9226773139357991,0.06659174213628437,0.017837641062977794,0.017837641062977794,0.017837641062977794,0.9811360331133236,5.078070457467924,3.5515284538269043,0.04089045524597168,,10_cover,286048,10,0.009603283365029646
CBLOF,72,0.9231689360249788,0.06690965305819248,0.017837641062977794,0.017837641062977794,0.017837641062977794,0.9811360331133236,5.074753184101357,3.116586923599243,0.031716346740722656,,10_cover,286048,10,0.009603283365029646
CBLOF,888,0.921603354679237,0.06608815454984292,0.017837641062977794,0.017837641062977794,0.017837641062977794,0.9811360331133236,5.076846677648445,3.34515118598938,0.035552024841308594,,10_cover,286048,10,0.009603283365029646
HBOS,69,0.7128589893545663,0.025146020028190757,0.059305075495724946,0.059272727272727276,0.059337459046232256,0.9819226143863967,19.770606397099392,1.1239657402038574,0.04314446449279785,,10_cover,286048,10,0.009603283365029646
HBOS,72,0.7128589893545663,0.025146020028190757,0.059305075495724946,0.059272727272727276,0.059337459046232256,0.9819226143863967,19.770606397099392,0.06413054466247559,0.04774737358093262,,10_cover,286048,10,0.009603283365029646
HBOS,888,0.7128589893545663,0.025146020028190757,0.059305075495724946,0.059272727272727276,0.059337459046232256,0.9819226143863967,19.770606397099392,0.06392192840576172,0.047867536544799805,,10_cover,286048,10,0.009603283365029646
ECOD,69,0.9204000946010866,0.10719104278713665,0.16381507098653075,0.16381507098653075,0.16381507098653075,0.9839397583622329,28.645825202489267,0.5145630836486816,1.0927937030792236,,10_cover,286048,10,0.009603283365029646
ECOD,72,0.9204000946010866,0.10719104278713665,0.16381507098653075,0.16381507098653075,0.16381507098653075,0.9839397583622329,28.645825202489267,0.5148570537567139,1.0882997512817383,,10_cover,286048,10,0.009603283365029646
ECOD,888,0.9204000946010866,0.10719104278713665,0.16381507098653075,0.16381507098653075,0.16381507098653075,0.9839397583622329,28.645825202489267,0.5108401775360107,1.1364223957061768,,10_cover,286048,10,0.009603283365029646
COPOD,69,0.8840807941430552,0.06583457314776787,0.11576265016381507,0.11576265016381507,0.11576265016381507,0.9830168363351606,24.569125475273847,0.5105588436126709,1.085658311843872,,10_cover,286048,10,0.009603283365029646
COPOD,72,0.8840807941430552,0.06583457314776787,0.11576265016381507,0.11576265016381507,0.11576265016381507,0.9830168363351606,24.569125475273847,0.5061638355255127,1.1441152095794678,,10_cover,286048,10,0.009603283365029646
COPOD,888,0.8840807941430552,0.06583457314776787,0.11576265016381507,0.11576265016381507,0.11576265016381507,0.9830168363351606,24.569125475273847,0.5197255611419678,1.1128137111663818,,10_cover,286048,10,0.009603283365029646
LODA,69,0.9377458642905643,0.08434856810040955,0.08773207135056425,0.08773207135056425,0.08773207135056425,0.9824784651527017,0.028982151661943706,1.5925638675689697,1.3384902477264404,,10_cover,286048,10,0.009603283365029646
LODA,72,0.8972003400952575,0.057277521397373105,0.0673461958500182,0.0673461958500182,0.0673461958500182,0.9820869224745498,0.029143071840154015,1.5797557830810547,1.2845265865325928,,10_cover,286048,10,0.009603283365029646
LODA,888,0.9262340017498757,0.08576578508895628,0.08445576993083363,0.08445576993083363,0.08445576993083363,0.9824155386508558,0.028346803151135847,1.6093897819519043,1.287602424621582,,10_cover,286048,10,0.009603283365029646
DeepSVDD,69,0.9545056976096616,0.12094440085282468,0.12631962140516928,0.12631962140516928,0.12631962140516928,0.9832195995077749,3.1900769533308804,169.84072279930115,0.05364394187927246,,10_cover,286048,10,0.009603283365029646
DeepSVDD,72,0.8702997793138595,0.05408493862381419,0.05824535857298872,0.058245358572988716,0.058245358572988716,0.9819121266360891,2.9139694711188255,168.88529682159424,0.05748438835144043,,10_cover,286048,10,0.009603283365029646
DeepSVDD,888,0.9177432698575742,0.07319876283313373,0.10993811430651619,0.1099381143065162,0.1099381143065162,0.9829049669985457,4.805076940760928,169.1989552974701,0.04794883728027344,,10_cover,286048,10,0.009603283365029646
CALDM-D,69,0.9321529649657988,0.07022887845018337,0.058973425555151074,0.058973425555151074,0.058973425555151074,0.9819261103031659,1.4144113800431217,2271.082615852356,63.02460551261902,,10_cover,286048,10,0.009603283365029646
CALDM-D,72,0.9076267332541237,0.05349743389393966,0.05096468875136512,0.050964688751365124,0.050964688751365124,0.9817722899653205,1.4175454636931333,2274.19922542572,62.025686264038086,,10_cover,286048,10,0.009603283365029646
CALDM-D,888,0.9307055090512586,0.06862969423207077,0.056425191117582825,0.05642519111758282,0.05642519111758282,0.9818771674683969,1.4184370247903675,2262.150303840637,61.28386354446411,,10_cover,286048,10,0.009603283365029646
CALDM-J,69,0.6257936758204953,0.012581260968330716,0.011285038223516564,0.011285038223516564,0.011285038223516564,0.9810101801096319,0.31495493978873734,845.9649238586426,61.708587408065796,,10_cover,286048,10,0.009603283365029646
CALDM-J,72,0.5866244779853014,0.011088130050429478,0.005460502366217692,0.005460502366217692,0.005460502366217692,0.9808983107730171,0.3193370896096828,845.7294642925262,62.00679564476013,,10_cover,286048,10,0.009603283365029646
CALDM-J,888,0.5862721640697085,0.01107176440919791,0.0029122679286494356,0.0029122679286494356,0.0029122679286494356,0.9808493679382482,0.32526831508580056,850.5284154415131,62.03441524505615,,10_cover,286048,10,0.009603283365029646
KNN,69,0.6798601761922463,0.13469124810231362,0.22251741806056335,0.2214547809194906,0.22359030236992644,0.9073864168467011,0.19164180755615234,649.9980535507202,716.8637518882751,,11_donors,619326,10,0.05927411411760527
KNN,72,0.6798601761922463,0.13469124810231362,0.22251741806056335,0.2214547809194906,0.22359030236992644,0.9073864168467011,0.19164180755615234,629.5220527648926,690.9094843864441,,11_donors,619326,10,0.05927411411760527
KNN,888,0.6798601761922463,0.13469124810231362,0.22251741806056335,0.2214547809194906,0.22359030236992644,0.9073864168467011,0.19164180755615234,620.414228439331,698.4080200195312,,11_donors,619326,10,0.05927411411760527
LOF,69,0.5549827742813497,0.09084623091125785,0.1981476436938164,0.1981476436938164,0.1981476436938164,0.9049418238536732,1.0247085466015875,637.3965594768524,619.0452871322632,,11_donors,619326,10,0.05927411411760527
LOF,72,0.5549827742813497,0.09084623091125785,0.1981476436938164,0.1981476436938164,0.1981476436938164,0.9049418238536732,1.0247085466015875,629.2789356708527,616.9740118980408,,11_donors,619326,10,0.05927411411760527
LOF,888,0.5549827742813497,0.09084623091125785,0.1981476436938164,0.1981476436938164,0.1981476436938164,0.9049418238536732,1.0247085466015875,625.590047121048,617.2782332897186,,11_donors,619326,10,0.05927411411760527
IForest,69,0.7818318713046115,0.13033446639838467,0.1006810133478616,0.10068101334786161,0.10068101334786161,0.893387327514104,0.020792140208775973,6.211394548416138,2.8461949825286865,,11_donors,619326,10,0.05927411411760527
IForest,72,0.7848778910160725,0.1353118806496514,0.11508902960437302,0.11433410398408517,0.11585399073821846,0.8943981037450389,0.02281043407030825,6.150771856307983,2.840276002883911,,11_donors,619326,10,0.05927411411760527
IForest,888,0.7875009066837053,0.12675121482494905,0.09858426354478626,0.09853061224489795,0.09863797330427676,0.8930805423960887,0.019433427206872578,6.192767381668091,2.826019048690796,,11_donors,619326,10,0.05927411411760527
PCA,69,0.8292411301076268,0.16768512930277168,0.19604452609964335,0.19445784424076754,0.19765731408335604,0.9039084424035161,699.955917972524,0.26155996322631836,0.13055968284606934,,11_donors,619326,10,0.05927411411760527
PCA,72,0.8292411301076268,0.16768512930277168,0.19604452609964335,0.19445784424076754,0.19765731408335604,0.9039084424035161,699.955917972524,0.2714722156524658,0.14506864547729492,,11_donors,619326,10,0.05927411411760527
PCA,888,0.8292411301076268,0.16768512930277168,0.19604452609964335,0.19445784424076754,0.19765731408335604,0.9039084424035161,699.955917972524,0.26822996139526367,0.1409921646118164,,11_donors,619326,10,0.05927411411760527
CBLOF,69,0.8105974093628341,0.14955000285450887,0.1361172400642859,0.1361135323599913,0.13612094797058022,0.8975854396553673,3.2134647369384766,4.425297737121582,0.09581208229064941,,11_donors,619326,10,0.05927411411760527
CBLOF,72,0.8092583446470241,0.14769154335764467,0.13708955830915648,0.13645687142394472,0.13772813947153364,0.897226985464844,3.1605336666107178,4.261013984680176,0.10079789161682129,,11_donors,619326,10,0.05927411411760527
CBLOF,888,0.7990560269635465,0.13979373045186974,0.12936216510267917,0.1291689299293862,0.12955597929719423,0.8966327911310037,3.2700302600860596,4.264807224273682,0.10609292984008789,,11_donors,619326,10,0.05927411411760527
HBOS,69,0.7347739450967931,0.11827669019962345,0.01129934968314992,0.007817153845349943,0.020375919368019614,0.7886395856140385,2.796809966789273,0.1931438446044922,0.11021900177001953,,11_donors,619326,10,0.05927411411760527
HBOS,72,0.7347739450967931,0.11827669019962345,0.01129934968314992,0.007817153845349943,0.020375919368019614,0.7886395856140385,2.796809966789273,0.19575190544128418,0.1052091121673584,,11_donors,619326,10,0.05927411411760527
HBOS,888,0.7347739450967931,0.11827669019962345,0.01129934968314992,0.007817153845349943,0.020375919368019614,0.7886395856140385,2.796809966789273,0.19318628311157227,0.10598969459533691,,11_donors,619326,10,0.05927411411760527
ECOD,69,0.8884986198059661,0.26409094377320186,0.2856831553715406,0.2856675927439124,0.285698719694906,0.9153143901596251,11.795072090425032,0.939751148223877,2.034184694290161,,11_donors,619326,10,0.05927411411760527
ECOD,72,0.8884986198059661,0.26409094377320186,0.2856831553715406,0.2856675927439124,0.285698719694906,0.9153143901596251,11.795072090425032,0.9282822608947754,1.9411492347717285,,11_donors,619326,10,0.05927411411760527
ECOD,888,0.8884986198059661,0.26409094377320186,0.2856831553715406,0.2856675927439124,0.285698719694906,0.9153143901596251,11.795072090425032,0.9392232894897461,1.9312262535095215,,11_donors,619326,10,0.05927411411760527
COPOD,69,0.8150534229241817,0.20824114617696507,0.26774737529238973,0.2673401770680571,0.26815581585399073,0.91306032687147,10.172390609850943,0.9835634231567383,1.9541771411895752,,11_donors,619326,10,0.05927411411760527
COPOD,72,0.8150534229241817,0.20824114617696507,0.26774737529238973,0.2673401770680571,0.26815581585399073,0.91306032687147,10.172390609850943,0.9681174755096436,1.947948932647705,,11_donors,619326,10,0.05927411411760527
COPOD,888,0.8150534229241817,0.20824114617696507,0.26774737529238973,0.2673401770680571,0.26815581585399073,0.91306032687147,10.172390609850943,0.9269716739654541,1.9733338356018066,,11_donors,619326,10,0.05927411411760527
LODA,69,0.48553181573881493,0.059630661995127954,0.0077640874786005344,0.0069642702655939095,0.00877145192045764,0.8671103748268278,0.08137227478113472,3.587399959564209,2.89136004447937,,11_donors,619326,10,0.05927411411760527
