method,seed,auc_roc,ap,f1,precision,recall,accuracy,threshold,train_time_sec,score_time_sec,error,dataset,n_train,n_test,n_features,outlier_rate,subset_pct
KNN,69,0.7537909074496599,0.23393222770680333,0.23286118980169973,0.23286118980169973,0.23286118980169973,0.8865711652844098,2.0001744269628747,23.435211420059204,566.1949656009674,,BLS,95495,23874,202,0.07392979810672698,0.2
LOF,69,0.6471629425008236,0.09666731079002597,0.05042492917847025,0.05042492917847025,0.05042492917847025,0.8595962134539666,5.143127607262668,16.504786252975464,4.654525279998779,,BLS,95495,23874,202,0.07392979810672698,0.2
IForest,69,0.6182421833006875,0.10810617093370593,0.12577903682719546,0.12577903682719546,0.12577903682719546,0.8707380413839323,0.002353805415386526,1.3505513668060303,0.12880516052246094,,BLS,95495,23874,202,0.07392979810672698,0.2
PCA,69,0.565656122761333,0.08441950372693702,0.08045325779036827,0.08045325779036827,0.08045325779036827,0.8640361899974868,4.398205082008228e+21,3.2997491359710693,0.6970500946044922,,BLS,95495,23874,202,0.07392979810672698,0.2
CBLOF,69,0.7098309726583857,0.25453482137573014,0.25552407932011334,0.25552407932011334,0.25552407932011334,0.8899220909776325,2.592359103382423,9.40891718864441,0.04578280448913574,,BLS,95495,23874,202,0.07392979810672698,0.2
HBOS,69,0.6363273669715472,0.11308301236922726,0.141643059490085,0.141643059490085,0.141643059490085,0.8730836893691882,-632.89701703235,2.4167580604553223,0.057268381118774414,,BLS,95495,23874,202,0.07392979810672698,0.2
ECOD,69,0.6944522996223834,0.14359449276175193,0.1943342776203966,0.1943342776203966,0.1943342776203966,0.8808745916059312,29.437512787441225,3.722060203552246,4.687653064727783,,BLS,95495,23874,202,0.07392979810672698,0.2
COPOD,69,0.6767695772567464,0.13440342441643227,0.17960339943342776,0.17960339943342776,0.17960339943342776,0.8786964899053363,25.99828459792806,3.878753185272217,4.498455286026001,,BLS,95495,23874,202,0.07392979810672698,0.2
LODA,69,0.5070278636223798,0.07713230136001847,0.09121813031161471,0.09121813031161473,0.09121813031161473,0.8656278797017676,0.047613481820333384,4.396579265594482,1.0535686016082764,,BLS,95495,23874,202,0.07392979810672698,0.2
DeepSVDD,69,0.5290029940507224,0.07873758768898068,0.07762039660056658,0.07762039660056658,0.07762039660056658,0.8636173242858339,1.9950846205547104,76.13419103622437,0.03756833076477051,,BLS,95495,23874,202,0.07392979810672698,0.2
CALDM-D,69,0.7516275850386899,0.32005606909404866,0.29745042492917845,0.29745042492917845,0.29745042492917845,0.8961213035100947,0.47324110003330433,812.8642902374268,5.650804758071899,,BLS,95495,23874,202,0.07392979810672698,0.2
CALDM-J,69,0.6491713922662594,0.14914709198376103,0.141643059490085,0.141643059490085,0.141643059490085,0.8730836893691882,0.01751166909595734,313.8425750732422,5.767419815063477,,BLS,95495,23874,202,0.07392979810672698,0.2
KNN,72,0.7580070644067501,0.24630156659819247,0.2521246458923513,0.2521246458923513,0.2521246458923513,0.8894194521236491,2.000234599532216,19.58598256111145,539.8687744140625,,BLS,95495,23874,202,0.07392979810672698,0.2
LOF,72,0.6392135821529105,0.09517205384108847,0.04305949008498584,0.04305949008498584,0.04305949008498584,0.8585071626036692,4.972421470375108,16.46230125427246,4.3606719970703125,,BLS,95495,23874,202,0.07392979810672698,0.2
IForest,72,0.6289686547862208,0.11442418519096188,0.1376770538243626,0.1376770538243626,0.1376770538243626,0.8724972773728743,0.0029270143386592824,1.3679311275482178,0.15206551551818848,,BLS,95495,23874,202,0.07392979810672698,0.2
PCA,72,0.5739047472367463,0.0879266429227311,0.08158640226628895,0.08158640226628895,0.08158640226628895,0.864203736282148,1.240251156222544e+20,3.2918946743011475,0.6502285003662109,,BLS,95495,23874,202,0.07392979810672698,0.2
CBLOF,72,0.7220518428076603,0.3083306252780931,0.29688385269121814,0.29688385269121814,0.29688385269121814,0.8960375303677641,2.627635328685997,7.540419578552246,0.04269289970397949,,BLS,95495,23874,202,0.07392979810672698,0.2
HBOS,72,0.6340621543250111,0.11399686916431223,0.13994334277620396,0.13994334277620396,0.13994334277620396,0.8728323699421965,-632.7796915211015,0.8789916038513184,0.07945680618286133,,BLS,95495,23874,202,0.07392979810672698,0.2
